value,created_at,lat,lon,ele
14,2019-03-21 06:29:41 UTC,,,
14,2019-03-21 06:29:42 UTC,,,
14,2019-03-21 06:31:47 UTC,,,
14,2019-03-21 06:32:39 UTC,,,
14,2019-03-21 06:32:45 UTC,,,
14,2019-03-21 06:32:51 UTC,,,
14,2019-03-21 06:32:57 UTC,,,
14,2019-03-21 06:33:03 UTC,,,
15,2019-03-21 06:33:09 UTC,,,
15,2019-03-21 06:33:15 UTC,,,
15,2019-03-21 06:33:21 UTC,,,
15,2019-03-21 06:33:27 UTC,,,
15,2019-03-21 06:33:33 UTC,,,
15,2019-03-21 06:33:39 UTC,,,
15,2019-03-21 06:33:45 UTC,,,
15,2019-03-21 06:33:51 UTC,,,
15,2019-03-21 06:33:57 UTC,,,
15,2019-03-21 06:34:12 UTC,,,
15,2019-03-21 06:35:12 UTC,,,
15,2019-03-21 06:36:12 UTC,,,
15,2019-03-21 06:37:12 UTC,,,
15,2019-03-21 06:38:12 UTC,,,
15,2019-03-21 06:39:12 UTC,,,
15,2019-03-21 06:40:12 UTC,,,
15,2019-03-21 06:41:12 UTC,,,
15,2019-03-21 06:42:12 UTC,,,
15,2019-03-21 06:43:13 UTC,,,
15,2019-03-21 06:44:13 UTC,,,
15,2019-03-21 06:45:13 UTC,,,
15,2019-03-21 06:46:13 UTC,,,
15,2019-03-21 06:47:13 UTC,,,
15,2019-03-21 06:48:13 UTC,,,
15,2019-03-21 06:49:13 UTC,,,
15,2019-03-21 06:50:13 UTC,,,
15,2019-03-21 06:51:13 UTC,,,
15,2019-03-21 06:52:13 UTC,,,
15,2019-03-21 06:53:13 UTC,,,
15,2019-03-21 06:54:13 UTC,,,
15,2019-03-21 06:55:13 UTC,,,
15,2019-03-21 06:56:13 UTC,,,
15,2019-03-21 06:57:13 UTC,,,
15,2019-03-21 06:58:13 UTC,,,
15,2019-03-21 06:59:13 UTC,,,
15,2019-03-21 07:00:13 UTC,,,
15,2019-03-21 07:01:13 UTC,,,
15,2019-03-21 07:02:13 UTC,,,
15,2019-03-21 07:03:13 UTC,,,
15,2019-03-21 07:04:13 UTC,,,
15,2019-03-21 07:05:13 UTC,,,
15,2019-03-21 07:06:13 UTC,,,
15,2019-03-21 07:07:13 UTC,,,
15,2019-03-21 07:08:13 UTC,,,
15,2019-03-21 07:09:13 UTC,,,
15,2019-03-21 07:10:13 UTC,,,
15,2019-03-21 07:11:13 UTC,,,
15,2019-03-21 07:12:13 UTC,,,
15,2019-03-21 07:13:13 UTC,,,
15,2019-03-21 07:14:13 UTC,,,
15,2019-03-21 07:15:13 UTC,,,
15,2019-03-21 07:16:13 UTC,,,
15,2019-03-21 07:17:13 UTC,,,
15,2019-03-21 07:18:13 UTC,,,
15,2019-03-21 07:19:13 UTC,,,
15,2019-03-21 07:20:13 UTC,,,
15,2019-03-21 07:21:13 UTC,,,
15,2019-03-21 07:22:14 UTC,,,
15,2019-03-21 07:23:14 UTC,,,
15,2019-03-21 07:24:14 UTC,,,
15,2019-03-21 07:25:14 UTC,,,
