id,value,feed_id,created_at,lat,lon,ele
0E407FFBPVXCMK8SQHNC6ZH3F0,nan,1026841,2019-03-20 12:34:45 UTC,,,
0E407FGK57Y73SZYRGGSGCNQV6,nan,1026841,2019-03-20 12:34:49 UTC,,,
0E407FHTARYD9BCJ7K6QS2W2X2,nan,1026841,2019-03-20 12:34:53 UTC,,,
0E407FK2HPM1Y7PFGCVDKHF9MV,nan,1026841,2019-03-20 12:34:57 UTC,,,
0E407FMSD3H3CEZTFSKFVP989W,nan,1026841,2019-03-20 12:35:03 UTC,,,
0E407FP12QQNFDM0DN47GGZ8J1,nan,1026841,2019-03-20 12:35:07 UTC,,,
0E407FQ8DCPMYEJF8QXE2WM750,nan,1026841,2019-03-20 12:35:11 UTC,,,
0E407FRFRTCK2QQ3MKNPQHRT9S,nan,1026841,2019-03-20 12:35:15 UTC,,,
0E407FSPHVAM5TG0SB8CDVD6TJ,nan,1026841,2019-03-20 12:35:19 UTC,,,
0E407FTYECBAS1E62816TS4DG5,nan,1026841,2019-03-20 12:35:23 UTC,,,
0E407FW5BRCHT1P1YBDW7YJ3AQ,nan,1026841,2019-03-20 12:35:27 UTC,,,
0E407FXCDQ088D2S198E25SRB4,nan,1026841,2019-03-20 12:35:31 UTC,,,
0E407FYMD0HAXSTHMXK0S0G8G6,nan,1026841,2019-03-20 12:35:35 UTC,,,
0E407FZV8Z45AFMTXEMP5AQRE9,nan,1026841,2019-03-20 12:35:39 UTC,,,
0E407G12JGQ9VDN524Z7631BBB,nan,1026841,2019-03-20 12:35:43 UTC,,,
0E407G29XYYCZ2WW9QNNWC67MQ,nan,1026841,2019-03-20 12:35:47 UTC,,,
0E407G3GSRM0J8XM6HC0P1T3BN,nan,1026841,2019-03-20 12:35:51 UTC,,,
0E407G4QTASPFWK2S7E8X9G6KM,nan,1026841,2019-03-20 12:35:55 UTC,,,
0E407G5ZGBJTDJ7QEY8ECK8TCM,nan,1026841,2019-03-20 12:35:59 UTC,,,
0E407G8E9Q60Q5W1PQEC6QPPDB,nan,1026841,2019-03-20 12:36:07 UTC,,,
0E407G9P7GG5TX8MDNXX6CDYS8,nan,1026841,2019-03-20 12:36:11 UTC,,,
0E407GAX6WH7X3E1XBRRNEZBY1,nan,1026841,2019-03-20 12:36:15 UTC,,,
0E407GC481ZVV0HCPJJQS3WAR5,nan,1026841,2019-03-20 12:36:19 UTC,,,
0E407GDBPPFBFXX01J4YBRYJCA,nan,1026841,2019-03-20 12:36:23 UTC,,,
0E407GEJHD41RPJMC9NNY1NW7C,nan,1026841,2019-03-20 12:36:27 UTC,,,
0E407GFT7DS3TAQD9A8327XQTG,nan,1026841,2019-03-20 12:36:31 UTC,,,
0E407GH16AY127TJ7G2BBRHW77,nan,1026841,2019-03-20 12:36:35 UTC,,,
0E407GJ8RP4PAHQHW0NYJPND3C,nan,1026841,2019-03-20 12:36:39 UTC,,,
0E407GKGCX3BR8HJM5QN2D891S,nan,1026841,2019-03-20 12:36:43 UTC,,,
0E407GMQA4MSABESNWEBWFG0Y6,nan,1026841,2019-03-20 12:36:47 UTC,,,
0E407GNYNEZZP1YYP9HYZFZB0H,nan,1026841,2019-03-20 12:36:52 UTC,,,
0E407GQ5QGHEWKAY79S6J7THVD,nan,1026841,2019-03-20 12:36:56 UTC,,,
0E407GRCWG9KZPGS9ST4XXE6XN,nan,1026841,2019-03-20 12:37:00 UTC,,,
0E407GSMTMG34Z88HD699Q2353,nan,1026841,2019-03-20 12:37:04 UTC,,,
